Reference	Inclusion	Reasons_exclusion
Mazahery, H., Stonehouse, W., Delshad, M., Kruger, M. C., Conlon, C. A., Beck, K. L., & von Hurst, P. R. (2017). Relationship between Long Chain n-3 Polyunsaturated Fatty Acids and Autism Spectrum Disorder: Systematic Review and Meta-Analysis of Case-Control and Randomised Controlled Trials. Nutrients, 9(2), 155.	Included	
McLay, L.-L. K., & France, K. (2014). Empirical research evaluating non-traditional approaches to managing sleep problems in children with autism. Developmental Neurorehabilitation, 1–12. doi:10.3109/17518423.2014.904452 	Excluded	Not a meta-analysis
Miyahara M. (2013). Meta review of systematic and meta analytic reviews on movement differences, effect of movement based interventions, and the underlying neural mechanisms in autism spectrum disorder. Frontiers in integrative neuroscience, 7, 16.	Excluded	Not a meta-analysis of controlled studies
Monteiro CE, Da Silva E, Sodré R, et al. The Effect of Physical Activity on Motor Skills of Children with Autism Spectrum Disorder: A Meta-Analysis. Int J Environ Res Public Health. 2022;19(21):14081. Published 2022 Oct 28. doi:10.3390/ijerph192114081	Excluded	Outcome not included in the UR
Nimer, J., & Lundahl, B. (2007). Animal-assisted therapy: A meta-analysis. Anthrozoös, 20(3), 225–238. https://doi.org/10.2752/089279307X224773	Excluded	Not on ASD
Nogueira HA, de Castro CT, da Silva DCG, Pereira M. Melatonin for sleep disorders in people with autism: Systematic review and meta-analysis. Prog Neuropsychopharmacol Biol Psychiatry. 2023;123:110695. doi:10.1016/j.pnpbp.2022.110695	Excluded	Probable errors in calculations
Nye, C., & Brice, A. (2005). Combined vitamin B6-magnesium treatment in autism spectrum disorder. Cochrane Database of Systematic Reviews. doi:10.1002/14651858.cd003497.pub2 	Excluded	Not a meta-analysis of controlled studies
Ooi, Y. P., Weng, S. J., Kossowsky, J., Gerger, H., & Sung, M. (2017). Oxytocin and autism spectrum disorders: a systematic review and meta-analysis of randomized controlled trials. Pharmacopsychiatry, 50(01), 5-13.	Included	
Park, E. Y., Kim, W. H., & Blair, K. S. C. (2021). Effectiveness of interventions involving physical activities for individuals with autism spectrum disorder: a meta-analysis. Education and Training in Autism and Developmental Disabilities, 56(3), 354-367.	Excluded	Meta-analysis of SCD
Parker A, Beresford B, Dawson V, et al. Oral melatonin for non-respiratory sleep disturbance in children with neurodisabilities: systematic review and meta-analyses. Dev Med Child Neurol. 2019;61(8):880-890. doi:10.1111/dmcn.14157	Included	
Peled-Avron, L., Abu-Akel, A., & Shamay-Tsoory, S. (2020). Exogenous effects of oxytocin in five psychiatric disorders: a systematic review, meta-analysis and a personalized approach through the lens of the social salience hypothesis. Neuroscience & Biobehavioral Reviews. doi:10.1016/j.neubiorev.2020.04.023 	Excluded	Probable errors in calculations
Peng S, Fang Y, Othman AT, Liang J. Meta-analysis and systematic review of physical activity on neurodevelopment disorders, depression, and obesity among children and adolescents. Front Psychol. 2022;13:940977. Published 2022 Nov 30. doi:10.3389/fpsyg.2022.940977	Excluded	Not enough information to replicate
Quan L, Xu X, Cui Y, et al. A systematic review and meta-analysis of the benefits of a gluten-free diet and/or casein-free diet for children with autism spectrum disorder. Nutr Rev. 2022;80(5):1237-1246. doi:10.1093/nutrit/nuab073	Excluded	Pre/post effect sizes within the experimental group
Rehn AK, Caruso VR, Kumar S. The effectiveness of animal-assisted therapy for children and adolescents with autism spectrum disorder: A systematic review. Complement Ther Clin Pract. 2023;50:101719. doi:10.1016/j.ctcp.2022.101719	Excluded	Not a meta-analysis
Romero-Martínez Á, Bressanutti S, Moya-Albiol L. A Systematic Review of the Effectiveness of Non-Invasive Brain Stimulation Techniques to Reduce Violence Proneness by Interfering in Anger and Irritability. J Clin Med. 2020;9(3):882. Published 2020 Mar 24. doi:10.3390/jcm9030882	Excluded	Not a meta-analysis
Rossignol DA, Frye RE. Melatonin in autism spectrum disorders: a systematic review and meta-analysis. Dev Med Child Neurol. 2011;53(9):783-792. doi:10.1111/j.1469-8749.2011.03980.x	Excluded	Probable errors in calculations
Rossignol DA, Frye RE. The Effectiveness of Cobalamin (B12) Treatment for Autism Spectrum Disorder: A Systematic Review and Meta-Analysis. J Pers Med. 2021;11(8):784. Published 2021 Aug 11. doi:10.3390/jpm11080784	Excluded	Only one study
Rossignol, D. A., & Frye, R. E. (2021). Cerebral Folate Deficiency, Folate Receptor Alpha Autoantibodies and Leucovorin (Folinic Acid) Treatment in Autism Spectrum Disorders: A Systematic Review and Meta-Analysis. Journal of personalized medicine, 11(11), 1141. https://doi.org/10.3390/jpm11111141	Excluded	Not a meta-analysis of controlled studies
Ruan, H., Eungpinichpong, W., Wu, H., Shen, M., & Zhang, A. (2022). Medicine Insufficient Evidence for the Efficacy of Massage as Intervention for Autism Spectrum Disorder: A Systematic Review. Evidence-based complementary and alternative medicine : eCAM, 2022, 5328320.	Excluded	Not a meta-analysis
Salanitro M, Wrigley T, Ghabra H, et al. Efficacy on sleep parameters and tolerability of melatonin in individuals with sleep or mental disorders: A systematic review and meta-analysis. Neurosci Biobehav Rev. 2022;139:104723. doi:10.1016/j.neubiorev.2022.104723	Included	
Salehi A, Hashemi N, Imanieh MH, Saber M. Chiropractic: Is it Efficient in Treatment of Diseases? Review of Systematic Reviews. Int J Community Based Nurs Midwifery. 2015;3(4):244-254.	Excluded	Not a meta-analysis of controlled studies
Sefen, J. A. N., Al-Salmi, S., Shaikh, Z., AlMulhem, J. T., Rajab, E., & Fredericks, S. (2020). Beneficial Use and Potential Effectiveness of Physical Activity in Managing Autism Spectrum Disorder. Frontiers in Behavioral Neuroscience, 14. doi:10.3389/fnbeh.2020.587560 	Excluded	Not a meta-analysis
Shi, Z. M., Lin, G. H., & Xie, Q. (2016). Effects of music therapy on mood, language, behavior, and social skills in children with autism: A meta-analysis. Chinese Nursing Research, 3(3), 137-141.	Excluded	Probable errors in calculations
Shuai B, Jin H, Lin Y, et al. Safety and efficacy of complementary and alternative medicine in the treatment of autism spectrum disorder: A protocol for systematic review and meta-analysis. Medicine (Baltimore). 2020;99(45):e23128. doi:10.1097/MD.0000000000023128	Excluded	Protocol
Shuai B, Jin H, Lin Y, et al. Safety and efficacy of complementary and alternative medicine in the treatment of autism spectrum disorder: A protocol for systematic review and meta-analysis. Medicine (Baltimore). 2020;99(45):e23128. doi:10.1097/MD.0000000000023128	Excluded	Protocol
Silva EAD Junior, Medeiros WMB, Torro N, et al. Cannabis and cannabinoid use in autism spectrum disorder: a systematic review. Trends Psychiatry Psychother. 2022;44:e20200149. Published 2022 Jun 13. doi:10.47626/2237-6089-2020-0149	Excluded	Not a meta-analysis
Smith JR, DiSalvo M, Green A, et al. Treatment Response of Transcranial Magnetic Stimulation in Intellectually Capable Youth and Young Adults with Autism Spectrum Disorder: A Systematic Review and Meta-Analysis [published online ahead of print, 2022 Sep 26]. Neuropsychol Rev. 2022;10.1007/s11065-022-09564-1. doi:10.1007/s11065-022-09564-1	Excluded	Pre/post effect sizes within the experimental group
Song, L., Luo, X., Jiang, Q., Chen, Z., Zhou, L., Wang, D., & Chen, A. (2020). Vitamin D Supplementation is Beneficial for Children with Autism Spectrum Disorder: A Meta-analysis. Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology, 18(2), 203–213.	Included	
Song, W., Zhang, M., Teng, L., Wang, Y., & Zhu, L. (2022). Prebiotics and probiotics for autism spectrum disorder: a systematic review and meta-analysis of controlled clinical trials. Journal of medical microbiology, 71(4), 10.1099/jmm.0.001510. https://doi.org/10.1099/jmm.0.001510	Included	
Sowa, M., & Meulenbroek, R. (2012). Effects of physical exercise on autism spectrum disorders: A meta-analysis. Research in autism spectrum disorders, 6(1), 46-57.	Excluded	Pre/post effect sizes within the experimental group
Sun CK, Cheng YS, Hung KC. N-acetylcysteine is effective as add-on therapy to risperidone-based combination for children with autistic disorders. Aust N Z J Psychiatry. 2022;56(1):91-92. doi:10.1177/00048674211041932	Excluded	Comment
Sung MC, Ku B, Leung W, MacDonald M. The Effect of Physical Activity Interventions on Executive Function Among People with Neurodevelopmental Disorders: A Meta-Analysis. J Autism Dev Disord. 2022;52(3):1030-1050. doi:10.1007/s10803-021-05009-5	Excluded	Outcome not included in the UR
Tan, B. W. Z., Pooley, J. A., & Speelman, C. P. (2016). A Meta-Analytic Review of the Efficacy of Physical Exercise Interventions on Cognition in Individuals with Autism Spectrum Disorder and ADHD. Journal of Autism and Developmental Disorders, 46(9), 3126–3143. doi:10.1007/s10803-016-2854-x 	Excluded	Outcome not included in the UR
Tarr, C. W., Rineer-Hershey, A., & Larwin, K. (2020). The effects of physical exercise on stereotypic behaviors in autism: Small-n meta-analyses. Focus on Autism and Other Developmental Disabilities, 35(1), 26-35.	Excluded	Not enough information to replicate
Teh, E. J., Vijayakumar, R., Tan, T. X. J., & Yap, M. J. (2022). Effects of Physical Exercise Interventions on Stereotyped Motor Behaviours in Children with ASD: A Meta-Analysis. Journal of autism and developmental disorders, 52(7), 2934–2957.	Excluded	Probable errors in calculations
Trzmiel, T., Purandare, B., Michalak, M., Zasadzka, E., & Pawlaczyk, M. (2019). Equine assisted activities and therapies in children with autism spectrum disorder: A systematic review and a meta-analysis. Complementary therapies in medicine, 42, 104–113.	Excluded	Pre/post effect sizes within the experimental group
Vancampfort D, Scheewe T, van Damme T, Deenik J. Effect van bewegen op psychiatrische symptomen en lichamelijke gezondheid bij mensen met psychiatrische aan-doeningen; systematische review van recente meta-analyses [The efficacy of physical activity on psychiatric symptoms and physical health in people with psychiatric disorders: a systematic review of recent meta-analyses]. Tijdschr Psychiatr. 2020;62(11):936-945.	Excluded	Not a meta-analysis
Varigonda, A. L., Edgcomb, J. B., & Zima, B. T. (2021). The impact of exercise in improving executive function impairments among children and adolescents with ADHD, autism spectrum disorder, and fetal alcohol spectrum disorder: a systematic review and meta-analysis. Archives of Clinical Psychiatry (São Paulo), 47, 146-156.	Excluded	Pre/post effect sizes within the experimental group
Wang, L., Peng, J. L., Qiao, F. Q., Cheng, W. M., Lin, G. W., Zhang, Y., Gao, T. G., Sun, Y. Y., Tang, W. Z., & Wang, P. (2021). Clinical Randomized Controlled Study of Acupuncture Treatment on Children with Autism Spectrum Disorder (ASD): A Systematic Review and Meta-Analysis. Evidence-based complementary and alternative medicine : eCAM, 2021, 5549849.	Excluded	Probable errors in calculations
Wang, Y., Wang, M. J., Rong, Y., He, H. Z., & Yang, C. J. (2019). Oxytocin therapy for core symptoms in autism spectrum disorder: An updated meta-analysis of randomized controlled trials. Research in Autism Spectrum Disorders, 64, 63-75.	Included	
Whipple, J. (2004). Music in Intervention for Children and Adolescents with Autism: A Meta-Analysis. Journal of Music Therapy, 41(2), 90–106. doi:10.1093/jmt/41.2.90 	Excluded	Meta-analysis of SCD
Wigton, R., Radua, J., Allen, P., Averbeck, B., Meyer-Lindenberg, A., McGuire, P., Shergill, S. S., & Fusar-Poli, P. (2015). Neurophysiological effects of acute oxytocin administration: systematic review and meta-analysis of placebo-controlled imaging studies. Journal of psychiatry & neuroscience : JPN, 40(1), E1–E22	Excluded	Not a meta-analysis
Williams, K. J., Wray, J. J., & Wheeler, D. M. (2005). Intravenous secretin for autism spectrum disorder. Cochrane Database of Systematic Reviews. doi:10.1002/14651858.cd003495.pub2 	Excluded	Updated later
Williams, K., Wray, J. A., & Wheeler, D. M. (2012). Intravenous secretin for autism spectrum disorders (ASD). The Cochrane database of systematic reviews, 2012(4), CD003495.	Excluded	Not a meta-analysis
Xiao N, Shinwari K, Kiselev S, Huang X, Li B, Qi J. Effects of Equine-Assisted Activities and Therapies for Individuals with Autism Spectrum Disorder: Systematic Review and Meta-Analysis. Int J Environ Res Public Health. 2023 Feb 1;20(3):2630. doi: 10.3390/ijerph20032630. PMID: 36767996; PMCID: PMC9915993.	Excluded	Not enough information to replicate
Yang, Y. J., Siao, M. R., Tsai, F. T., & Luo, H. J. (2015). Effect of physical activity interventions on children and adolescents with autism spectrum disorder: a systematic review and meta-analysis. Physiotherapy, 101, e1685-e1686.	Excluded	Not enough information to replicate
Yi et al 2020 IOP Conf. Ser.: Earth Environ. Sci. 440 042094	Excluded	Probable errors in calculations
Yu, Y., Huang, J., Chen, X., Fu, J., Wang, X., Pu, L., Gu, C., & Cai, C. (2022). Efficacy and Safety of Diet Therapies in Children With Autism Spectrum Disorder: A Systematic Literature Review and Meta-Analysis. Frontiers in neurology, 13, 844117.	Included	
Zhang, M., Liu, Z., Ma, H., & Smith, D. M. (2020). Chronic Physical Activity for Attention Deficit Hyperactivity Disorder and/or Autism Spectrum Disorder in Children: A Meta-Analysis of Randomized Controlled Trials. Frontiers in behavioral neuroscience, 14, 564886.	Excluded	Outcome not included in the UR
Zhang, Y., Zeng, J., Wu, D., Li, X., Chen, Y., Dai, S., Wang, B., Qi, Y., & Lu, J. (2021). Effect and safety of acupuncture for autism spectrum disorders: A protocol for systematic review and meta-analysis. Medicine, 100(11), e22269.	Excluded	Protocol
Zhao M, Chen S, You Y, Wang Y, Zhang Y. Effects of a Therapeutic Horseback Riding Program on Social Interaction and Communication in Children with Autism. International Journal of Environmental Research and Public Health. 2021; 18(5):2656	Excluded	Only one study
Zhukova, M. A., Talantseva, O. I., Logvinenko, T. I., Titova, O. S., & Grigorenko, E. L. (2020). Complementary and Alternative Treatments for Autism Spectrum Disorders: A Review for Parents and Clinicians. Clinical Psychology & Special Education/Kliniceska I Special'naa Psihologia, 9(3).	Excluded	Not a meta-analysis of controlled studies
Charry-Sánchez JD, Pradilla I, Talero-Gutiérrez C. Effectiveness of Animal-Assisted Therapy in the Pediatric Population: Systematic Review and Meta-Analysis of Controlled Studies. J Dev Behav Pediatr. 2018 Sep;39(7):580-590. doi: 10.1097/DBP.0000000000000594. PMID: 29994814.	Excluded	Not on ASD
Rehn AK, Caruso VR, Kumar S. The effectiveness of animal-assisted therapy for children and adolescents with autism spectrum disorder: A systematic review. Complement Ther Clin Pract. 2023 Feb;50:101719. doi: 10.1016/j.ctcp.2022.101719. Epub 2023 Jan 1. PMID: 36599281.	Excluded	Not a meta-analysis
"Nuria Prades, Eva Varela, Itziar Flamarique, Ramon Deulofeu & Inmaculada
Baeza (2023) Water-soluble vitamin insufficiency, deficiency and supplementation in children
and adolescents with a psychiatric disorder: a systematic review and meta-analysis, Nutritional
Neuroscience, 26:2, 85-107, DOI: 10.1080/1028415X.2021.2020402"	Excluded	Not a meta-analysis of controlled studies
Hu L, Du X, Jiang Z, Song C, Liu D. Oxytocin treatment for core symptoms in children with autism spectrum disorder: a systematic review and meta-analysis. Eur J Clin Pharmacol. 2023;79(10):1357-1363. doi:10.1007/s00228-023-03545-w	Included	
Salazar de Pablo, G., Pastor Jordá, C., Vaquerizo-Serrano, J., Moreno, C., Cabras, A., Arango, C., Hernández, P., Veenstra-VanderWeele, J., Simonoff, E., Fusar-Poli, P., Santosh, P., Cortese, S., & Parellada, M. (2023). Systematic Review and Meta-analysis: Efficacy of Pharmacological Interventions for Irritability and Emotional Dysregulation in Autism Spectrum Disorder and Predictors of Response. Journal of the American Academy of Child and Adolescent Psychiatry, 62(2), 151–168. https://doi.org/10.1016/j.jaac.2022.03.033	Included	
Soares A, Shiozawa P, Trevizol AP, Paula CS, Lowenthal R, Cordeiro Q. Effects of augmentation agents in autistic disorder patients treated with risperidone: a systematic review and a meta-analysis. Trends Psychiatry Psychother. 2016;38(2):114-116. doi:10.1590/2237-6089-2015-0068	Excluded	Mixed intervention types
Soares, A., Shiozawa, P., Trevizol, A. P., Paula, C. S. D., Lowenthal, R., & Cordeiro, Q. (2016). Effects of augmentation agents in autistic disorder patients treated with risperidone: a systematic review and a meta-analysis. Trends in psychiatry and psychotherapy, 38, 114-116.	Excluded	Mixed intervention types
Sandbank M, Bottema-Beutel K, Crowley LaPoint S, Feldman J I, Barrett D J, Caldwell N et al. Autism intervention meta-analysis of early childhood studies (Project AIM): updated systematic review and secondary analysis BMJ 2023; 383 :e076733 doi:10.1136/bmj-2023-076733	Included	
Yu Z, Zhang P, Tao C, Lu L, Tang C. Efficacy of nonpharmacological interventions targeting social function in children and adults with autism spectrum disorder: A systematic review and meta-analysis. PLoS One. 2023;18(9):e0291720. Published 2023 Sep 19. doi:10.1371/journal.pone.0291720	Excluded	Probable errors in calculations
Sam, K. L., Chow, B. C., & Tong, K. K. (2015). Effectiveness of exercise-based interventions for children with autism: A systematic review and meta-analysis. International Journal of Learning and Teaching, 1(2), 98-103.	Excluded	Mixed intervention types
Lun T, Lin S, Chen Y, et al. Acupuncture for children with autism spectrum disorder: A systematic review and meta-analysis. Medicine (Baltimore). 2023;102(8):e33079. doi:10.1097/MD.0000000000033079	Excluded	Outcome not included in the UR
Beavers A, Fleming A, Shahidullah JD. Animal-assisted therapies for autism. Curr Probl Pediatr Adolesc Health Care. 2023;53(11):101478. doi:10.1016/j.cppeds.2023.101478	Excluded	Not a meta-analysis of controlled studies
Lavín-Pérez AM, Rivera-Martín B, Lobato-Rincón LL, Villafaina-Domínguez S, Collado-Mateo D. Benefits of animal-Assisted interventions in preschool children: A systematic review. Clin Child Psychol Psychiatry. 2023;28(2):850-873. doi:10.1177/13591045221142115	Excluded	Not a meta-analysis of controlled studies
"Michele Mussap1 , Rossella Tomaiuolo2 New insights on biomarkers reflecting the genetic deficiency of folate cycle in autism spectrum disorder Biochimica Clinica 2023; 47(2) 125-126
"	Excluded	Not a meta-analysis of controlled studies
JAMEY https://www.biorxiv.org/content/10.1101/2023.02.08.527718v2.full.pdf	Excluded	Not a meta-analysis of controlled studies
Zhang J, Zhu G, Wan L, et al. Effect of fecal microbiota transplantation in children with autism spectrum disorder: A systematic review. Front Psychiatry. 2023;14:1123658. Published 2023 Mar 2. doi:10.3389/fpsyt.2023.1123658	Excluded	Not a meta-analysis
Ji YQ, Tian H, Zheng ZY, Ye ZY, Ye Q. Effectiveness of exercise intervention on improving fundamental motor skills in children with autism spectrum disorder: a systematic review and meta-analysis. Front Psychiatry. 2023;14:1132074. Published 2023 Jun 12. doi:10.3389/fpsyt.2023.1132074	Excluded	Outcome not included in the UR
Wang S, Chen D, Yang Y, Zhu L, Xiong X, Chen A. Effectiveness of physical activity interventions for core symptoms of autism spectrum disorder: A systematic review and meta-analysis. Autism Res. 2023;16(9):1811-1824. doi:10.1002/aur.3004	Included	
"Ojeda, Á., Barahona-Fuentes, G., Villagra Órdenes, F. et al. Effects of Physical Education on Socializing and Communicating Among Children and Preadolescents with Autism Spectrum Disorder: a Systematic Review and Meta-Analysis. Rev J Autism Dev Disord (2023). https://doi.org/10.1007/s40489-023-00410-5
"	Included	
He X, Liu W, Tang F, Chen X, Song G. Effects of Probiotics on Autism Spectrum Disorder in Children: A Systematic Review and Meta-Analysis of Clinical Trials. Nutrients. 2023;15(6):1415. Published 2023 Mar 15. doi:10.3390/nu15061415	Included	
Zhang M, Wu Y, Lu Z, et al. Effects of Vitamin D Supplementation on Children with Autism Spectrum Disorder: A Systematic Review and Meta-analysis. Clin Psychopharmacol Neurosci. 2023;21(2):240-251. doi:10.9758/cpn.2023.21.2.240	Included	
Rice LJ, Cannon L, Dadlani N, et al. Efficacy of cannabinoids in neurodevelopmental and neuropsychiatric disorders among children and adolescents: a systematic review. Eur Child Adolesc Psychiatry. Published online March 3, 2023. doi:10.1007/s00787-023-02169-w	Excluded	Not a meta-analysis
Zhang J, Zhu G, Wan L, et al. Effect of fecal microbiota transplantation in children with autism spectrum disorder: A systematic review. Front Psychiatry. 2023;14:1123658. Published 2023 Mar 2. doi:10.3389/fpsyt.2023.1123658	Excluded	Not a meta-analysis of controlled studies
Madigand J, Rio M, Vandevelde A. Equine assisted services impact on social skills in autism spectrum disorder: A meta-analysis. Prog Neuropsychopharmacol Biol Psychiatry. 2023;125:110765. doi:10.1016/j.pnpbp.2023.110765	Included	
Lewandowska-Pietruszka Z, Figlerowicz M, Mazur-Melewska K. Microbiota in Autism Spectrum Disorder: A Systematic Review. Int J Mol Sci. 2023;24(23):16660. Published 2023 Nov 23. doi:10.3390/ijms242316660	Excluded	Not a meta-analysis of controlled studies
Fan MSN, Li WHC, Ho LLK, Phiri L, Choi KC. Nature-Based Interventions for Autistic Children: A Systematic Review and Meta-Analysis. JAMA Netw Open. 2023;6(12):e2346715. Published 2023 Dec 1. doi:10.1001/jamanetworkopen.2023.46715	Excluded	Mixed intervention types
Liu A, Gong C, Wang B, Sun J, Jiang Z. Non-invasive brain stimulation for patient with autism: a systematic review and meta-analysis. Front Psychiatry. 2023;14:1147327. Published 2023 Jun 29. doi:10.3389/fpsyt.2023.1147327	Included	
Kiani Z, Farkhondeh T, Aramjoo H, et al. Oxytocin Effect in Adult Patients with Autism: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials. CNS Neurol Disord Drug Targets. 2023;22(6):906-915. doi:10.2174/1871527321666220517112612	Included	
Wong T, Falcomata TS, Barnett M. The Collateral Effects of Antecedent Exercise on Stereotypy and Other Nonstereotypic Behaviors Exhibited by Individuals with Autism Spectrum Disorder: A Systematic Review. Behav Anal Pract. 2022;16(2):407-420. Published 2022 Sep 19. doi:10.1007/s40617-022-00746-0	Excluded	Not a meta-analysis
Jia S, Guo C, Li S, Zhou X, Wang X, Wang Q. The effect of physical exercise on disordered social communication in individuals with autism Spectrum disorder: a systematic review and meta-analysis of randomized controlled trials. Front Pediatr. 2023;11:1193648. Published 2023 Jun 30. doi:10.3389/fped.2023.1193648	Included	
"Li, Y., Feng, Y., Zhong, J. et al. The Effects of Physical Activity Interventions in Children with Autism Spectrum Disorder: a Systematic Review and Network Meta-analysis. Rev J Autism Dev Disord (2023). https://doi.org/10.1007/s40489-023-00418-x
"	Included	
"Ye, Y.; Ning, K.; Wan, B.;
Shangguan, C. The Effects of the
Exercise Intervention on
Fundamental Movement Skills in
Children with Attention Deficit
Hyperactivity Disorder and/or
Autism Spectrum Disorder: A
Meta-Analysis. Sustainability 2023, 15,
5206. https://doi.org/10.3390/
su15065206"	Excluded	Outcome not included in the UR
Romano K, Shah AN, Schumacher A, Zasowski C, Zhang T, Bradley-Ridout G, Merriman K, Parkinson J, Szatmari P, Campisi SC, Korczak DJ. The gut microbiome in children with mood, anxiety, and neurodevelopmental disorders: An umbrella review. Gut Microbiome (Camb). 2023 Sep 20;4:e18. doi: 10.1017/gmb.2023.16. PMID: 39295902; PMCID: PMC11406386.	Excluded	Not a meta-analysis of controlled studies
Rahim F, Toguzbaeva K, Qasim NH, Dzhusupov KO, Zhumagaliuly A, Khozhamkul R. Probiotics, prebiotics, and synbiotics for patients with autism spectrum disorder: a meta-analysis and umbrella review. Front Nutr. 2023;10:1294089. Published 2023 Dec 11. doi:10.3389/fnut.2023.1294089	Included	
Xiong M, Li F, Liu Z, et al. Efficacy of Melatonin for Insomnia in Children with Autism Spectrum Disorder: A Meta-analysis. Neuropediatrics. 2023;54(3):167-173. doi:10.1055/s-0043-1761437	Excluded	Probable errors in calculations
Nogueira HA, de Castro CT, da Silva DCG, Pereira M. Melatonin for sleep disorders in people with autism: Systematic review and meta-analysis. Prog Neuropsychopharmacol Biol Psychiatry. 2023;123:110695. doi:10.1016/j.pnpbp.2022.110695	Excluded	Probable errors in calculations
Meng XR, Cao X, Sun ML, Deng H, He LY, Liu J. [Re-evaluation of systematic reviews of acupuncture and moxibustion for childhood autism]. Zhongguo Zhen Jiu. 2023 Feb 12;43(2):223-31. Chinese. doi: 10.13703/j.0255-2930.20220526-k0002. PMID: 36808520.	Excluded	Not a meta-analysis of controlled studies
Kandeel M, El-Deeb W. The Application of Natural Camel Milk Products to Treat Autism-Spectrum Disorders: Risk Assessment and Meta-Analysis of Randomized Clinical Trials. Bioinorg Chem Appl. 2022 May 27;2022:6422208. doi: 10.1155/2022/6422208. Retraction in: Bioinorg Chem Appl. 2023 Oct 4;2023:9807391. doi: 10.1155/2023/9807391. PMID: 35669459; PMCID: PMC9166988.	Excluded	Retracted
Kisely S, Connor M, Somogyi AA, Siskind D. A systematic literature review and meta-analysis of the effect of psilocybin and methylenedioxymethamphetamine on mental, behavioural or developmental disorders. Aust N Z J Psychiatry. 2023;57(3):362-378. doi:10.1177/00048674221083868	Excluded	Only one study
Parrella NF, Hill AT, Enticott PG, Barhoun P, Bower IS, Ford TC. A systematic review of cannabidiol trials in neurodevelopmental disorders. Pharmacol Biochem Behav. 2023;230:173607. doi:10.1016/j.pbb.2023.173607	Excluded	Not a meta-analysis of controlled studies
Iffland M, Livingstone N, Jorgensen M, Hazell P, Gillies D. Pharmacological intervention for irritability, aggression, and self-injury in autism spectrum disorder (ASD). Cochrane Database Syst Rev. 2023;10(10):CD011769. Published 2023 Oct 9. doi:10.1002/14651858.CD011769.pub2	Included	
Xiao N, Shinwari K, Kiselev S, Huang X, Li B, Qi J. Effects of Equine-Assisted Activities and Therapies for Individuals with Autism Spectrum Disorder: Systematic Review and Meta-Analysis. Int J Environ Res Public Health. 2023 Feb 1;20(3):2630. doi: 10.3390/ijerph20032630. PMID: 36767996; PMCID: PMC9915993.	Included	
